Time,x1,x2,x3,x4,
0,9.000000E+00,1.000000E+00,1.350000E+01,1.500000E+00,
1,8.170732E+00,1.829268E+00,1.263830E+01,1.580685E+00,
2,7.433015E+00,2.495946E+00,1.148672E+01,1.720768E+00,
3,6.942043E+00,3.153455E+00,1.092883E+01,1.797135E+00,
4,6.268265E+00,3.495890E+00,1.040907E+01,1.937969E+00,
5,5.683787E+00,3.636843E+00,9.817113E+00,2.081797E+00,
6,5.379436E+00,3.924244E+00,9.128535E+00,2.265874E+00,
7,5.034527E+00,4.084537E+00,8.765635E+00,2.443007E+00,
8,4.716675E+00,4.501990E+00,8.432028E+00,2.570920E+00,
9,4.521764E+00,4.659265E+00,8.135604E+00,2.720869E+00,
10,4.498765E+00,4.942960E+00,7.667627E+00,2.852743E+00,
11,4.372235E+00,5.120807E+00,7.284978E+00,3.052580E+00,
12,4.398739E+00,5.206057E+00,6.745199E+00,3.261302E+00,
13,4.047339E+00,5.365731E+00,6.399011E+00,3.478769E+00,
14,3.852110E+00,5.517226E+00,6.141215E+00,3.761140E+00,
15,3.650548E+00,5.599741E+00,5.891996E+00,4.022934E+00,
16,3.460764E+00,5.680659E+00,5.648143E+00,4.248420E+00,
17,3.279168E+00,5.707115E+00,5.426857E+00,4.524098E+00,
18,3.134653E+00,5.732357E+00,5.149536E+00,4.718675E+00,
19,3.143050E+00,5.684729E+00,5.087615E+00,4.986519E+00,
20,3.136632E+00,5.744119E+00,5.023372E+00,5.206208E+00,
21,3.128135E+00,5.836149E+00,4.998915E+00,5.457454E+00,
22,3.117299E+00,5.920396E+00,4.963236E+00,5.674058E+00,
23,3.206075E+00,5.917198E+00,4.791735E+00,5.850916E+00,
24,3.199062E+00,5.868007E+00,4.556287E+00,6.092264E+00,
25,3.189946E+00,5.887257E+00,4.447454E+00,6.294095E+00,
26,3.289302E+00,5.915972E+00,4.323993E+00,6.462477E+00,
27,3.266814E+00,5.946382E+00,4.234631E+00,6.718101E+00,
28,3.395538E+00,6.039582E+00,4.059742E+00,6.928301E+00,
29,3.414562E+00,6.168767E+00,3.952652E+00,7.139832E+00,
30,3.507182E+00,6.298281E+00,3.805821E+00,7.309235E+00,
31,3.576834E+00,6.384956E+00,3.721510E+00,7.487351E+00,
32,3.561089E+00,6.233363E+00,3.631859E+00,7.695122E+00,
33,3.571102E+00,6.274291E+00,3.636765E+00,7.892721E+00,
34,3.604004E+00,6.390839E+00,3.698079E+00,8.086500E+00,
35,3.675249E+00,6.399417E+00,3.638483E+00,8.244145E+00,
36,3.658057E+00,6.410478E+00,3.352190E+00,8.363918E+00,
37,3.649472E+00,6.425591E+00,2.900780E+00,8.451825E+00,
38,3.661827E+00,6.279610E+00,2.687035E+00,8.610064E+00,
39,3.959753E+00,6.273694E+00,2.507517E+00,8.734257E+00,
40,3.930674E+00,6.315279E+00,2.192207E+00,8.891171E+00,
41,3.842151E+00,6.158690E+00,1.964370E+00,9.052073E+00,
42,3.816979E+00,6.121792E+00,1.839005E+00,9.177310E+00,
43,4.474084E+00,6.092636E+00,1.750750E+00,9.264581E+00,
44,4.718980E+00,5.620372E+00,1.633393E+00,9.361040E+00,
45,4.813843E+00,5.279180E+00,1.588565E+00,9.465863E+00,
46,4.852787E+00,5.012410E+00,1.568547E+00,9.596341E+00,
47,4.866994E+00,4.991943E+00,1.555453E+00,9.720735E+00,
48,4.971421E+00,4.883911E+00,1.544484E+00,9.837765E+00,
49,5.045669E+00,4.611758E+00,1.539744E+00,9.957668E+00,
50,5.121794E+00,4.625745E+00,1.538362E+00,1.005691E+01,
51,5.104339E+00,4.594768E+00,1.536052E+00,1.019571E+01,
52,5.223014E+00,4.594767E+00,1.532906E+00,1.030682E+01,
53,5.449399E+00,4.594766E+00,1.527849E+00,1.042963E+01,
54,5.557697E+00,4.532402E+00,1.526702E+00,1.056506E+01,
55,5.673606E+00,4.530297E+00,1.525626E+00,1.068664E+01,
56,5.617905E+00,4.210317E+00,1.522932E+00,1.081916E+01,
57,5.660691E+00,4.152874E+00,1.519460E+00,1.092947E+01,
58,5.645556E+00,4.018004E+00,1.519006E+00,1.099534E+01,
59,5.717913E+00,3.957589E+00,1.518636E+00,1.107664E+01,
60,5.881652E+00,3.906666E+00,1.518310E+00,1.117096E+01,
61,5.865045E+00,3.962230E+00,1.518288E+00,1.123790E+01,
62,5.942444E+00,3.990189E+00,1.516679E+00,1.132337E+01,
63,6.000914E+00,3.700635E+00,1.515122E+00,1.141172E+01,
64,5.953448E+00,3.667107E+00,1.511922E+00,1.150568E+01,
65,5.942852E+00,3.684755E+00,1.509689E+00,1.157966E+01,
66,6.085864E+00,3.619982E+00,1.507962E+00,1.168331E+01,
67,6.062249E+00,3.487958E+00,1.507748E+00,1.175559E+01,
68,6.152978E+00,3.376982E+00,1.507714E+00,1.183084E+01,
69,6.117491E+00,3.351028E+00,1.507108E+00,1.192321E+01,
70,6.100469E+00,3.268123E+00,1.506382E+00,1.200500E+01,
71,6.148114E+00,3.277930E+00,1.505918E+00,1.206895E+01,
72,6.290361E+00,3.268733E+00,1.505504E+00,1.213676E+01,
73,6.443173E+00,3.261049E+00,1.505194E+00,1.219692E+01,
74,6.435696E+00,3.254566E+00,1.504968E+00,1.225733E+01,
75,6.429237E+00,3.249160E+00,1.503462E+00,1.230018E+01,
76,6.501182E+00,3.236302E+00,1.502410E+00,1.234388E+01,
77,6.486048E+00,3.225010E+00,1.501688E+00,1.238204E+01,
78,6.540813E+00,3.012667E+00,1.501179E+00,1.240767E+01,
79,6.542485E+00,2.927456E+00,1.500822E+00,1.244641E+01,
80,6.601822E+00,2.885302E+00,1.500578E+00,1.250504E+01,
81,6.813790E+00,2.868403E+00,1.500405E+00,1.257049E+01,
82,6.880365E+00,2.859710E+00,1.500290E+00,1.260081E+01,
83,6.873382E+00,2.756745E+00,1.500226E+00,1.263493E+01,
84,6.947956E+00,2.748658E+00,1.500177E+00,1.267153E+01,
85,6.947703E+00,2.561838E+00,1.500144E+00,1.272337E+01,
86,7.012520E+00,2.497230E+00,1.500124E+00,1.276185E+01,
87,7.012657E+00,2.497286E+00,1.500088E+00,1.279129E+01,
88,7.075665E+00,2.434421E+00,1.500034E+00,1.281470E+01,
89,7.075748E+00,2.377189E+00,1.500015E+00,1.284252E+01,
90,7.134715E+00,2.377210E+00,1.500007E+00,1.287864E+01,
91,7.134759E+00,2.377224E+00,1.500003E+00,1.290653E+01,
92,7.134789E+00,2.377234E+00,1.500002E+00,1.292270E+01,
93,7.305467E+00,2.377241E+00,1.500001E+00,1.295310E+01,
94,7.352993E+00,2.235227E+00,1.500001E+00,1.296475E+01,
95,7.401365E+00,2.235230E+00,1.500000E+00,1.297080E+01,
96,7.455896E+00,2.184449E+00,1.500000E+00,1.298350E+01,
97,7.455901E+00,2.184450E+00,1.500000E+00,1.299383E+01,
98,7.455904E+00,2.184451E+00,1.500000E+00,1.301247E+01,
99,7.455906E+00,2.118692E+00,1.500000E+00,1.303319E+01,
