Time,x1,x2,x3,
0.000000,1.421909E+03,3.571675E+03,3.021304E+00,
1.000000,8.145731E+02,2.892154E+03,8.970639E-02,
2.000000,1.000291E+03,2.576397E+03,6.542145E-02,
3.000000,1.064211E+03,2.170005E+03,7.335461E-02,
4.000000,1.136303E+03,1.915574E+03,7.086091E-02,
5.000000,1.255174E+03,1.709201E+03,7.922440E-02,
6.000000,1.380370E+03,1.499145E+03,9.683533E-02,
7.000000,1.484337E+03,1.418403E+03,9.714490E-02,
8.000000,1.555808E+03,1.293853E+03,8.414903E-02,
9.000000,1.588425E+03,1.223936E+03,6.985525E-02,
10.000000,1.618793E+03,1.180861E+03,6.680653E-02,
11.000000,1.650789E+03,1.108496E+03,3.923350E-02,
12.000000,1.718493E+03,1.052208E+03,2.713224E-02,
13.000000,1.947568E+03,9.974046E+02,1.564587E-02,
14.000000,2.355631E+03,9.798527E+02,8.661573E-03,
15.000000,2.869105E+03,9.733844E+02,3.500364E-03,
16.000000,3.640728E+03,9.802648E+02,1.451901E-03,
17.000000,3.747224E+03,9.657417E+02,9.902928E-04,
18.000000,3.784175E+03,9.542783E+02,1.525917E-02,
19.000000,3.785755E+03,1.411589E+03,7.114857E-03,
20.000000,3.789559E+03,3.418811E+03,2.933489E-04,
21.000000,3.795397E+03,3.569800E+03,2.343577E-06,
22.000000,3.798823E+03,3.571939E+03,4.519387E-08,
23.000000,3.613008E+03,3.571676E+03,1.939765E-07,
24.000000,3.583182E+03,3.571943E+03,2.525224E-08,
25.000000,2.842477E+03,3.571873E+03,3.179016E-08,
26.000000,2.828029E+03,3.571676E+03,2.882713E-10,
27.000000,2.828028E+03,3.571675E+03,2.337311E-13,
28.000000,2.828015E+03,3.571675E+03,2.593532E-16,
29.000000,2.828015E+03,3.571675E+03,2.877840E-19,
30.000000,2.828015E+03,3.571675E+03,3.193316E-22,
31.000000,2.828015E+03,3.571675E+03,3.543373E-25,
32.000000,2.828015E+03,3.571675E+03,3.931804E-28,
33.000000,2.828004E+03,3.571675E+03,4.362810E-31,
34.000000,2.828004E+03,3.571675E+03,4.841046E-34,
35.000000,2.828004E+03,3.571675E+03,5.371648E-37,
36.000000,2.828038E+03,3.571675E+03,5.960227E-40,
37.000000,2.828039E+03,3.571675E+03,5.959892E-40,
38.000000,2.828039E+03,3.571675E+03,5.960293E-40,
39.000000,2.828039E+03,3.571675E+03,5.960695E-40,
